"area_code","area","item_code","item","element_group","element_code","element","year_code","unit","value","flag"
9,"Argentina",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1993,"tonnes per 1000 Ha",0.94,"Fc"
9,"Argentina",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1994,"tonnes per 1000 Ha",1.08,"Fc"
9,"Argentina",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1995,"tonnes per 1000 Ha",1.35,"Fc"
9,"Argentina",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1996,"tonnes per 1000 Ha",1.93,"Fc"
9,"Argentina",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1997,"tonnes per 1000 Ha",2.74,"Fc"
9,"Argentina",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1998,"tonnes per 1000 Ha",2.19,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1994,"tonnes per 1000 Ha",1.98,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1995,"tonnes per 1000 Ha",2.08,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1996,"tonnes per 1000 Ha",1.48,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1997,"tonnes per 1000 Ha",2.12,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1998,"tonnes per 1000 Ha",2.07,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1999,"tonnes per 1000 Ha",1.79,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2000,"tonnes per 1000 Ha",1.8,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2001,"tonnes per 1000 Ha",1.96,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2002,"tonnes per 1000 Ha",2.22,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2003,"tonnes per 1000 Ha",2.3,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2004,"tonnes per 1000 Ha",2.47,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2005,"tonnes per 1000 Ha",2.21,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2006,"tonnes per 1000 Ha",2.39,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2007,"tonnes per 1000 Ha",2.9,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2008,"tonnes per 1000 Ha",2.53,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2009,"tonnes per 1000 Ha",2.08,"Fc"
104,"Ireland",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2010,"tonnes per 1000 Ha",2.5,"Fc"
156,"New Zealand",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1994,"tonnes per 1000 Ha",2.01,"Fc"
156,"New Zealand",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1995,"tonnes per 1000 Ha",2.4,"Fc"
156,"New Zealand",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1996,"tonnes per 1000 Ha",2.18,"Fc"
156,"New Zealand",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1998,"tonnes per 1000 Ha",1.91,"Fc"
156,"New Zealand",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1999,"tonnes per 1000 Ha",1.58,"Fc"
156,"New Zealand",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2000,"tonnes per 1000 Ha",2.34,"Fc"
156,"New Zealand",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2001,"tonnes per 1000 Ha",2.14,"Fc"
156,"New Zealand",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2007,"tonnes per 1000 Ha",9.88,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1991,"tonnes per 1000 Ha",1.35,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1992,"tonnes per 1000 Ha",1.56,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1993,"tonnes per 1000 Ha",1.23,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1994,"tonnes per 1000 Ha",1.71,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1995,"tonnes per 1000 Ha",1.81,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1996,"tonnes per 1000 Ha",2.52,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1997,"tonnes per 1000 Ha",2.47,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1998,"tonnes per 1000 Ha",3.05,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",1999,"tonnes per 1000 Ha",2.82,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2000,"tonnes per 1000 Ha",2.58,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2001,"tonnes per 1000 Ha",3.14,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2002,"tonnes per 1000 Ha",3.82,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2003,"tonnes per 1000 Ha",5.54,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2004,"tonnes per 1000 Ha",6.7,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2005,"tonnes per 1000 Ha",6.84,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2006,"tonnes per 1000 Ha",6.87,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2007,"tonnes per 1000 Ha",10.21,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2008,"tonnes per 1000 Ha",7.84,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2009,"tonnes per 1000 Ha",7.03,"Fc"
234,"Uruguay",5195,"Pesticides",5160,5160,"Active ingredient use in Arable Land & Permanent Crops",2010,"tonnes per 1000 Ha",8.6,"Fc"
